YEAR,LocationAbbr,MeasureDesc,DataSource,Response,Sample_Size,Gender,Race,Age,Education,Risk_Level
0.7479764933940865,1,5,0,0,1.4369242381644396,2,1,7,3,0
0.7479764933940865,1,5,0,0,-0.0331933382197156,1,1,7,3,0
0.7479764933940865,1,5,0,0,0.6166035573930165,0,1,7,3,0
0.7479764933940865,1,4,0,4,-0.4456802471027768,2,1,7,3,1
0.7479764933940865,1,4,0,4,-0.6857273732410945,1,1,7,3,1
0.7479764933940865,1,5,0,2,-0.0331933382197156,1,1,7,3,1
0.7479764933940865,1,4,0,4,-0.613466892852821,0,1,7,3,1
0.7479764933940865,1,4,0,1,-0.4456802471027768,2,1,7,3,1
0.7479764933940865,1,4,0,1,-0.6857273732410945,1,1,7,3,1
0.7479764933940865,1,4,0,1,-0.613466892852821,0,1,7,3,1
0.03276130752906219,1,1,0,0,1.9944795357057772,2,5,7,3,0
0.03276130752906219,1,1,0,0,-0.8176574927378665,2,4,7,3,0
0.03276130752906219,1,1,0,0,-0.8165626369744078,2,3,7,3,0
0.03276130752906219,1,1,0,0,-0.8272374806681301,2,2,7,3,1
0.03276130752906219,1,1,0,0,0.1340458796485992,2,0,7,3,0
0.7479764933940865,1,0,0,0,0.7509971023575707,2,5,7,3,0
0.7479764933940865,1,0,0,0,-0.8340803291897468,2,4,7,3,0
0.7479764933940865,1,5,0,3,0.6166035573930165,0,1,7,3,1
0.7479764933940865,1,5,0,3,-0.0331933382197156,1,1,7,3,1
0.7479764933940865,1,0,0,0,-0.8277849085498594,2,2,7,3,1
0.7479764933940865,1,5,0,2,1.4369242381644396,2,1,7,3,0
0.7479764933940865,1,5,0,2,0.6166035573930165,0,1,7,3,0
0.7479764933940865,1,0,0,0,1.4369242381644396,2,1,7,3,0
0.7479764933940865,1,0,0,0,-0.16649202742081104,2,1,6,0,0
0.7479764933940865,1,0,0,0,0.3672501572653,2,1,6,2,0
0.7479764933940865,1,0,0,0,-0.5871903545298124,2,1,6,1,1
0.7479764933940865,1,0,0,0,-0.13857320545261445,2,1,5,0,0
0.7479764933940865,1,0,0,0,0.41870837814785844,2,1,5,2,0
0.7479764933940865,1,0,0,0,-0.5800737920673309,2,1,5,1,1
0.7479764933940865,1,0,0,0,-0.023339636348587395,2,1,4,3,0
0.7479764933940865,1,0,0,0,0.05822711802908496,2,1,3,3,0
0.7479764933940865,1,0,0,0,-0.4183088530163096,2,1,2,3,0
0.7479764933940865,1,0,0,0,-0.7401964474731643,2,1,0,3,0
0.7479764933940865,1,0,0,0,-0.2863787335195375,2,0,7,3,0
0.7479764933940865,1,0,0,0,-0.0331933382197156,1,1,7,3,0
0.7479764933940865,1,0,0,0,0.6166035573930165,0,1,7,3,0
0.7479764933940865,1,0,0,0,-0.5277944293621785,0,1,1,3,0
0.7479764933940865,1,3,0,0,-0.5672092368466913,2,1,7,3,1
0.7479764933940865,1,3,0,0,-0.7344484547150061,1,1,7,3,1
0.7479764933940865,1,3,0,0,-0.6862748011228238,0,1,7,3,1
0.7479764933940865,1,2,0,0,0.17592411260089408,2,1,7,3,1
0.7479764933940865,1,2,0,0,-0.3890214613437896,1,1,7,3,1
0.7479764933940865,1,2,0,0,-0.2885684450464549,0,1,7,3,1
0.7479764933940865,1,5,0,3,1.4369242381644396,2,1,7,3,1
0.7479764933940865,0,5,0,3,-0.33373124528912584,1,1,7,3,1
0.7479764933940865,0,2,0,0,-0.5756943690134961,0,1,7,3,1
0.7479764933940865,0,2,0,0,-0.585000643002895,1,1,7,3,1
0.7479764933940865,0,2,0,0,-0.3071809930252526,2,1,7,3,1
0.7479764933940865,0,3,0,0,-0.7785163991942183,0,1,7,3,1
0.7479764933940865,0,3,0,0,-0.7853592477158352,1,1,7,3,1
0.7479764933940865,0,3,0,0,-0.710361627918915,2,1,7,3,1
0.7479764933940865,0,0,0,0,-0.6441228542296643,0,1,1,3,0
0.7479764933940865,0,0,0,0,-0.21658167859904606,0,1,7,3,0
0.7479764933940865,0,0,0,0,-0.33373124528912584,1,1,7,3,0
0.7479764933940865,0,0,0,0,-0.8392808940661757,2,0,7,3,0
0.7479764933940865,0,0,0,0,-0.7875489592427526,2,1,0,3,0
0.7479764933940865,0,0,0,0,-0.5360058475881186,2,1,2,3,0
0.7479764933940865,0,0,0,0,-0.33783695440209593,2,1,3,3,0
0.7479764933940865,0,0,0,0,-0.5959492006374819,2,1,4,3,0
0.7479764933940865,0,0,0,0,-0.7960340914095574,2,1,5,1,1
0.7479764933940865,0,0,0,0,-0.05974359048358882,2,1,5,2,0
0.7479764933940865,0,0,0,0,-0.56830409261015,2,1,5,0,1
0.7479764933940865,0,0,0,0,-0.7979500889956102,2,1,6,1,1
0.7479764933940865,0,0,0,0,-0.084651559102274,2,1,6,2,0
0.7479764933940865,0,0,0,0,-0.5926646333471058,2,1,6,0,1
0.7479764933940865,0,0,0,0,0.3032010951029667,2,1,7,3,0
0.7479764933940865,0,5,0,3,0.3032010951029667,2,1,7,3,1
0.7479764933940865,0,0,0,0,-0.7172044764405318,2,2,7,3,1
0.7479764933940865,0,0,0,0,-0.8272374806681301,2,3,7,3,0
0.7479764933940865,0,0,0,0,-0.8184786345604605,2,4,7,3,0
0.7479764933940865,0,0,0,0,0.012790603845549352,2,5,7,3,0
0.03276130752906219,0,1,0,0,-0.8214894879099719,2,0,7,3,0
0.03276130752906219,0,1,0,0,-0.7095404860963209,2,2,7,3,1
0.03276130752906219,0,1,0,0,-0.627700017777784,2,3,7,3,1
0.03276130752906219,0,1,0,0,-0.7812535386028651,2,4,7,3,0
0.03276130752906219,0,1,0,0,0.8988026304244937,2,5,7,3,0
0.7479764933940865,0,4,0,1,-0.7481341517582397,0,1,7,3,1
0.7479764933940865,0,4,0,1,-0.7538821445163979,1,1,7,3,1
0.7479764933940865,0,4,0,1,-0.6485022772834991,2,1,7,3,1
0.7479764933940865,0,4,0,4,-0.7481341517582397,0,1,7,3,1
0.7479764933940865,0,4,0,4,-0.7538821445163979,1,1,7,3,1
0.7479764933940865,0,4,0,4,-0.6485022772834991,2,1,7,3,1
0.7479764933940865,0,5,0,0,-0.21658167859904606,0,1,7,3,0
0.7479764933940865,0,5,0,0,-0.33373124528912584,1,1,7,3,0
0.7479764933940865,0,5,0,0,0.3032010951029667,2,1,7,3,0
0.7479764933940865,0,5,0,2,-0.21658167859904606,0,1,7,3,0
0.7479764933940865,0,5,0,2,-0.33373124528912584,1,1,7,3,1
0.7479764933940865,0,5,0,2,0.3032010951029667,2,1,7,3,1
0.7479764933940865,0,5,0,3,-0.21658167859904606,0,1,7,3,1
0.7479764933940865,3,0,0,0,-0.7949392356460987,2,3,7,3,0
0.7479764933940865,3,0,0,0,0.6844846147274553,1,1,7,3,0
0.7479764933940865,3,2,0,0,0.09764192551359778,0,1,7,3,1
0.7479764933940865,3,2,0,0,-0.03948875885960307,1,1,7,3,1
0.7479764933940865,3,2,0,0,0.9116671856451333,2,1,7,3,1
0.7479764933940865,3,3,0,0,-0.6616405464450033,0,1,7,3,1
0.7479764933940865,3,3,0,0,-0.6988656424025987,1,1,7,3,1
0.7479764933940865,3,3,0,0,-0.5069921698564634,2,1,7,3,1
0.7479764933940865,3,0,0,0,-0.4377425428177013,0,1,1,3,0
0.7479764933940865,3,0,0,0,1.4410299472774095,0,1,7,3,0
0.7479764933940865,3,0,0,0,-0.7505975772260218,2,0,7,3,0
0.7479764933940865,3,0,0,0,-0.7306164595429007,2,1,0,3,0
0.7479764933940865,3,0,0,0,-0.23820507992735518,2,1,2,3,0
0.7479764933940865,3,0,0,0,0.5399636539509083,2,1,3,3,0
0.7479764933940865,3,0,0,0,0.8473444095419354,2,1,4,3,0
0.7479764933940865,3,0,0,0,-0.5710412320187968,2,1,5,1,0
0.7479764933940865,3,0,0,0,1.7749609551323098,2,1,5,2,0
0.7479764933940865,3,0,0,0,0.01607517113592542,2,1,5,0,0
0.7479764933940865,3,0,0,0,-0.5787052223630076,2,1,6,1,0
0.7479764933940865,3,0,0,0,1.7232290203088867,2,1,6,2,0
0.7479764933940865,3,0,0,0,-0.011022509009677143,2,1,6,0,0
0.7479764933940865,3,0,0,0,2.9790285809960033,2,1,7,3,0
0.7479764933940865,3,0,0,0,-0.7681152694413609,2,2,7,3,0
0.7479764933940865,3,0,0,0,-0.34166894957420135,2,4,7,3,0
0.7479764933940865,3,0,0,0,2.055244030577734,2,5,7,3,0
0.03276130752906219,3,1,0,0,-0.7254158946664719,2,0,7,3,0
0.03276130752906219,3,1,0,0,-0.7661992718553081,2,2,7,3,0
0.03276130752906219,3,1,0,0,-0.7339010268332767,2,3,7,3,0
0.03276130752906219,3,1,0,0,-0.18346229175442072,2,4,7,3,0
0.03276130752906219,3,1,0,0,2.882407559870774,2,5,7,3,0
0.7479764933940865,3,4,0,1,-0.5737783714274435,0,1,7,3,1
0.7479764933940865,3,4,0,1,-0.6375537196489122,1,1,7,3,1
0.7479764933940865,3,4,0,1,-0.357818072085217,2,1,7,3,1
0.7479764933940865,3,4,0,4,-0.5737783714274435,0,1,7,3,1
0.7479764933940865,3,4,0,4,-0.6375537196489122,1,1,7,3,1
0.7479764933940865,3,4,0,4,-0.357818072085217,2,1,7,3,1
0.7479764933940865,3,5,0,0,1.4410299472774095,0,1,7,3,0
0.7479764933940865,3,5,0,0,0.6844846147274553,1,1,7,3,0
0.7479764933940865,3,5,0,0,2.9790285809960033,2,1,7,3,0
0.7479764933940865,3,5,0,2,1.4410299472774095,0,1,7,3,0
0.7479764933940865,3,5,0,2,0.6844846147274553,1,1,7,3,1
0.7479764933940865,3,5,0,2,2.9790285809960033,2,1,7,3,1
0.7479764933940865,3,5,0,3,1.4410299472774095,0,1,7,3,1
0.7479764933940865,3,5,0,3,0.6844846147274553,1,1,7,3,1
0.7479764933940865,3,5,0,3,2.9790285809960033,2,1,7,3,1
0.7479764933940865,2,2,0,0,-0.4875584800550717,0,1,7,3,1
0.7479764933940865,2,2,0,0,-0.5609138162068039,1,1,7,3,1
0.7479764933940865,2,2,0,0,-0.19495827727073695,2,1,7,3,1
0.7479764933940865,2,3,0,0,-0.745397012349593,0,1,7,3,1
0.7479764933940865,2,3,0,0,-0.7864541034792939,1,1,7,3,1
0.7479764933940865,2,3,0,0,-0.6783370968377483,2,1,7,3,1
0.7479764933940865,2,0,0,0,-0.7089930582145916,0,1,1,3,1
0.7479764933940865,2,0,0,0,0.0021157601518271302,0,1,7,3,0
0.7479764933940865,2,0,0,0,-0.36110263937559306,1,1,7,3,1
0.7479764933940865,2,0,0,0,-0.6591771209772213,2,0,7,3,1
0.7479764933940865,2,0,0,0,-0.809719788452791,2,1,0,3,0
0.7479764933940865,2,0,0,0,-0.6515131306330104,2,1,2,3,1
0.7479764933940865,2,0,0,0,-0.36904034366066857,2,1,3,3,1
0.7479764933940865,2,0,0,0,-0.23574165445957312,2,1,4,3,0
0.7479764933940865,2,0,0,0,-0.7021502096929748,2,1,5,1,1
0.7479764933940865,2,0,0,0,-0.14295262850644921,2,1,5,2,0
0.7479764933940865,2,0,0,0,-0.38327346858563155,2,1,5,0,1
0.7479764933940865,2,0,0,0,-0.7037924933381629,2,1,6,1,1
0.7479764933940865,2,0,0,0,-0.16457602983475833,2,1,6,2,0
0.7479764933940865,2,0,0,0,-0.3931271704567597,2,1,6,0,1
0.7479764933940865,2,0,0,0,0.49452713976737267,2,1,7,3,0
0.7479764933940865,2,0,0,0,-0.8362700407166642,2,2,7,3,1
0.7479764933940865,2,0,0,0,-0.8261426249046714,2,4,7,3,0
0.7479764933940865,2,0,0,0,0.19563151634315049,2,5,7,3,0
0.03276130752906219,2,1,0,0,-0.4566288047373637,2,0,7,3,1
0.03276130752906219,2,1,0,0,-0.8343540431306116,2,2,7,3,1
0.03276130752906219,2,1,0,0,-0.8206683460873779,2,3,7,3,0
0.03276130752906219,2,1,0,0,-0.7908335265331287,2,4,7,3,0
0.03276130752906219,2,1,0,0,1.2726958736456362,2,5,7,3,1
0.7479764933940865,2,4,0,1,-0.7016027818112455,0,1,7,3,1
0.7479764933940865,2,4,0,1,-0.7544295723981272,1,1,7,3,1
0.7479764933940865,2,4,0,1,-0.6025183352182341,2,1,7,3,1
0.7479764933940865,2,4,0,4,-0.7016027818112455,0,1,7,3,0
0.7479764933940865,2,4,0,4,-0.7544295723981272,1,1,7,3,1
0.7479764933940865,2,4,0,4,-0.6025183352182341,2,1,7,3,1
0.7479764933940865,2,5,0,0,0.0021157601518271302,0,1,7,3,0
0.7479764933940865,2,5,0,0,-0.36110263937559306,1,1,7,3,1
0.7479764933940865,2,5,0,0,0.49452713976737267,2,1,7,3,0
0.7479764933940865,2,5,0,2,0.0021157601518271302,0,1,7,3,0
0.7479764933940865,2,5,0,2,-0.36110263937559306,1,1,7,3,1
0.7479764933940865,2,5,0,2,0.49452713976737267,2,1,7,3,0
0.7479764933940865,2,5,0,3,0.0021157601518271302,0,1,7,3,1
0.7479764933940865,2,5,0,3,-0.36110263937559306,1,1,7,3,1
0.7479764933940865,2,5,0,3,0.49452713976737267,2,1,7,3,1
0.7479764933940865,4,2,0,0,-0.47387278301183805,0,1,7,3,1
0.7479764933940865,4,2,0,0,-0.374514622477962,1,1,7,3,1
0.7479764933940865,4,2,0,0,0.005126613501338526,2,1,7,3,1
0.7479764933940865,4,3,0,0,-0.7872752453018879,0,1,7,3,1
0.7479764933940865,4,3,0,0,-0.7620935627423381,1,1,7,3,1
0.7479764933940865,4,3,0,0,-0.6958547890530873,2,1,7,3,1
0.7479764933940865,4,0,0,0,-0.4429431076941301,0,1,1,3,0
0.7479764933940865,4,0,0,0,0.3240033546086818,0,1,7,3,0
