,Baseline,Tuned
Accuracy,0.9107692307692308,0.9112087912087912
F1 Score,0.9092534644613322,0.9099821746880571
Precision,0.9228675136116152,0.9206492335437331
Recall,0.8960352422907489,0.8995594713656387
AUC-ROC,0.9699478321354045,0.9708482108354587
